Land,Region,Stadt/Location,Lat,Lon
D,BW,Offenburg,48.4411,7.9076
D,BW,Karlsruhe,49.006890,8.403653
D,BW,Mannheim,49.488888,8.469167
D,BW,Rastatt,48.834236,8.221831
D,BW,Bruchsal,49.124194,8.589836
D,BW,Malsch,48.909986,8.374389
D,BW,Heidelberg,49.398752,8.672434
D,RP,Ludwigshafen:,49.47771709437996,8.433380126953127
D,RP,Frankenthal,49.53634984277255,8.349609375000002
D,RP,Worms,49.634137,8.350718
D,RP,Mainz,49.992863,8.247253
DE,HE,Frankfurt am Main,50.110922,8.682127
CH,BS,Basel,47.56077405523748,7.591552734375001
CH,BL,Dornach,47.48148064567395,7.611465454101563
CH,AG,Aarau,47.39091206104782,8.043365478515627
CH,AG,Baden,47.47521553520454,8.308067321777346
CH,SO,Olten,47.35184985856322,7.900543212890626
CH,BE,Burgdorf,47.06170298810154,7.613525390625001
CH,BE,Trubschachen,46.922951937683216,7.845611572265625
CH,BE,Bern,46.95401192579361,7.452850341796876
CH,ZH,Oerlikon,47.41159400483031,8.54290008544922
CH,ZH,Zürich HB,47.37545339877544,8.54118347167969
CH,ZH,Zürich Flughafen,47.46198673754627,8.55440139770508
CH,ZH,Zürich Kreuzplatz,47.365118,8.554002
CH,TG,Weinfelden,47.5698,9.1120
CH,TG,Frauenfeld,47.558169,8.899711
CH,TG,Kradolf-Schönenberg,47.513378,9.172064
CH,ZH,Thalwil,47.29599652002003,8.566589355468752
CH,SZ,Pfäffikon SZ,47.2016100878789,8.777046203613283
CH,ZG,Baar,47.1953408394004,8.523244857788088
CH,ZG,Zug,47.16964376350852,8.515777587890627
CH,LU,Luzern,47.052230208574706,8.297939300537111
FR,Paris,Eiffel Tower,48.8584,2.2945
FR,Paris,Louvre Museum,48.8606,2.3376
FR,Paris,Notre-Dame Cathedral,48.8529,2.3499
FR,Paris,Champs-Élysées,48.8698,2.3075
FR,Paris,Montmartre,48.8867,2.3431
FR,Paris,Palace of Versailles,48.8049,2.1204
FR,Paris,Arc de Triomphe,48.8738,2.2950
FR,Paris,Sainte-Chapelle,48.8556,2.3447
FR,Paris,Musée d'Orsay,48.8599,2.3263
FR,Paris,Centre Pompidou,48.8606,2.3522
FR,Paris,Les Invalides,48.8570,2.3129
FR,Paris,Luxembourg Gardens,48.8462,2.3372
FR,Paris,Père Lachaise Cemetery,48.8614,2.3933
